epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2481.99,0.80184,0.45464,1.05304,0.95457,0.97069,0.98049,0.77914,0.7594,0.4173,0.94847,0.0014588,0.0014588,0.0014588
43,2543.95,0.81133,0.46542,1.04995,0.98787,0.98289,0.99307,0.78436,0.76412,0.3913,0.97259,0.0014456,0.0014456,0.0014456
44,2602.37,0.81218,0.4512,1.04612,0.99152,0.97759,0.99313,0.77235,0.84264,0.40776,0.97219,0.0014324,0.0014324,0.0014324
45,2661.99,0.79071,0.44327,1.03762,0.98745,0.98621,0.99197,0.78094,0.82195,0.38776,0.98777,0.0014192,0.0014192,0.0014192
46,2723.64,0.77369,0.43633,1.0343,0.97914,0.98276,0.99254,0.7999,0.73931,0.38232,0.94831,0.001406,0.001406,0.001406
47,2783.53,0.77741,0.44009,1.03111,0.98611,0.97903,0.99346,0.77968,0.78896,0.38533,0.94889,0.0013928,0.0013928,0.0013928
48,2842.36,0.78095,0.43486,1.04268,0.98451,0.98103,0.9925,0.78176,0.79142,0.38195,0.95901,0.0013796,0.0013796,0.0013796
49,2902.89,0.80017,0.44908,1.03725,0.97925,0.97635,0.9924,0.75341,0.86588,0.43745,0.96837,0.0013664,0.0013664,0.0013664
50,2959.98,0.77313,0.43508,1.03919,0.98276,0.98966,0.99137,0.79229,0.79888,0.38742,0.97121,0.0013532,0.0013532,0.0013532
51,3017.92,0.7735,0.44431,1.03794,0.97429,0.98014,0.9911,0.8171,0.69467,0.41358,0.94643,0.00134,0.00134,0.00134
52,3078.48,0.75945,0.4321,1.03465,0.98119,0.98952,0.9917,0.74562,0.93055,0.47399,0.99364,0.0013268,0.0013268,0.0013268
53,3136.71,0.77151,0.43176,1.03624,0.98957,0.98166,0.99356,0.8267,0.66234,0.35683,0.92719,0.0013136,0.0013136,0.0013136
54,3194.02,0.76642,0.4288,1.03348,0.98961,0.98541,0.99376,0.79619,0.7685,0.36581,0.95494,0.0013004,0.0013004,0.0013004
55,3254.75,0.76178,0.42298,1.02788,0.98725,0.98276,0.99352,0.81566,0.71271,0.34549,0.93982,0.0012872,0.0012872,0.0012872
56,3312.59,0.75163,0.41949,1.02717,0.98114,0.98686,0.9932,0.81885,0.70492,0.34895,0.9316,0.001274,0.001274,0.001274
57,3370.76,0.74808,0.41567,1.01981,0.98447,0.98356,0.99292,0.80487,0.72572,0.38403,0.95696,0.0012608,0.0012608,0.0012608
58,3432.54,0.73467,0.4097,1.0194,0.98938,0.98103,0.99327,0.79261,0.77667,0.37365,0.95173,0.0012476,0.0012476,0.0012476
59,3491.13,0.74442,0.41404,1.0276,0.98114,0.98793,0.99316,0.77946,0.82147,0.37907,0.96676,0.0012344,0.0012344,0.0012344
60,3549.94,0.73198,0.40882,1.0172,0.98622,0.98738,0.99274,0.82091,0.72145,0.34029,0.93531,0.0012212,0.0012212,0.0012212
61,3610.27,0.75159,0.41672,1.03015,0.98606,0.98966,0.99335,0.82006,0.6902,0.34726,0.92246,0.001208,0.001208,0.001208
62,3668.7,0.73767,0.40625,1.0137,0.98282,0.98656,0.99275,0.81994,0.68551,0.3524,0.92245,0.0011948,0.0011948,0.0011948
63,3726.53,0.73588,0.40878,1.01945,0.98732,0.98793,0.99353,0.81666,0.72425,0.3456,0.93653,0.0011816,0.0011816,0.0011816
64,3786.52,0.72396,0.39919,1.0139,0.98619,0.98497,0.99326,0.83858,0.63615,0.33367,0.91163,0.0011684,0.0011684,0.0011684
65,3844.2,0.73482,0.4012,1.01667,0.98784,0.98056,0.99272,0.84007,0.63817,0.33695,0.90676,0.0011552,0.0011552,0.0011552
66,3901.04,0.73836,0.40978,1.0193,0.98478,0.98621,0.99344,0.8254,0.68701,0.34624,0.91939,0.001142,0.001142,0.001142
67,3959.34,0.72454,0.40525,1.00989,0.98571,0.98448,0.99183,0.83555,0.63685,0.33594,0.91488,0.0011288,0.0011288,0.0011288
68,4018.7,0.73371,0.40227,1.01427,0.98914,0.98966,0.9927,0.75116,0.91639,0.36964,0.96958,0.0011156,0.0011156,0.0011156
69,4076.59,0.72701,0.39678,1.01538,0.99131,0.98299,0.99318,0.80534,0.72897,0.33258,0.94056,0.0011024,0.0011024,0.0011024
70,4135.31,0.71703,0.40122,1.00076,0.98119,0.98948,0.99311,0.75175,0.87679,0.38064,0.9934,0.0010892,0.0010892,0.0010892
